192.168.0.68 - - [06/Aug/2016:11:02:39 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-postsetup-announcements-plugin:post-setup-announcements/com.atlassian.jira.jira-postsetup-announcements-plugin:post-setup-announcements.css HTTP/1.1" 200 215
192.168.0.68 - - [06/Aug/2016:11:02:39 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:loading-sequence/com.atlassian.jira.jira-onboarding-assets-plugin:loading-sequence.css HTTP/1.1" 200 165
192.168.0.68 - - [06/Aug/2016:11:02:39 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:choose-language-component/com.atlassian.jira.jira-onboarding-assets-plugin:choose-language-component.css HTTP/1.1" 200 191
192.168.0.68 - - [06/Aug/2016:11:02:39 +0300] "GET /jira/s/8371c31e2e904034e2dc5e8a26d6cb94-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:avatar-picker/jira.webresources:avatar-picker.css HTTP/1.1" 200 914
192.168.0.68 - - [06/Aug/2016:11:02:39 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:avatar-picker-component/com.atlassian.jira.jira-onboarding-assets-plugin:avatar-picker-component.css HTTP/1.1" 200 313
192.168.0.68 - - [06/Aug/2016:11:02:39 +0300] "GET /jira/s/58b38232522127935aa51019fd9b5888-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:viewissue-watchers-and-voters/jira.webresources:viewissue-watchers-and-voters.css HTTP/1.1" 200 319
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:jquery-fancybox/jira.webresources:jquery-fancybox.css HTTP/1.1" 200 1581
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:create-project-component/com.atlassian.jira.jira-onboarding-assets-plugin:create-project-component.css HTTP/1.1" 200 397
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/58b38232522127935aa51019fd9b5888-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:autocomplete/jira.webresources:autocomplete.css HTTP/1.1" 200 626
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:create-issues-component/com.atlassian.jira.jira-onboarding-assets-plugin:create-issues-component.css HTTP/1.1" 200 468
192.168.0.68 - - [06/Aug/2016:11:02:40 +0300] "GET /jira/s/5976404d53a099f8315503d0bc675882-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/7.1.9/_/download/batch/com.atlassian.jira.jira-onboarding-assets-plugin:assign-issues-component/com.atlassian.jira.jira-onboarding-assets-plugin:assign-issues-component.css HTTP/1.1" 200 310
